,M76STMFLOW,M76CHWTONS,M76TFRARealPower,M76TFRBRealPower,M76TFRCRealPower,M76TFRDRealPower,TMP F,TMP C
1/7/2019 16:00,7912.641113,135.2279968,199.4533844,552.2217407,195.8607635,322.2636108,-3.9,24.98
1/7/2019 17:00,8863.00293,135.6072388,197.2845459,536.2896118,208.7870483,320.0916748,-2.2,28.04
1/7/2019 18:00,7884.724609,135.8753662,185.9489288,506.5464478,210.1685181,318.5888672,-1.1,30.02
1/7/2019 19:00,8154.648926,150.1530151,177.4100189,495.7969971,207.2590942,319.328186,-1.1,30.02
1/7/2019 20:00,8243.963867,132.0103607,151.7181702,507.170105,195.3677368,319.3750916,-0.6,30.92
1/7/2019 21:00,8305.759766,148.3203583,149.4148102,468.1912231,195.7292633,314.2049866,-1.1,30.02
1/7/2019 22:00,8077.563477,141.8782501,139.603302,455.7785645,190.0486298,315.9647522,-1.7,28.94
1/7/2019 23:00,7771.151855,129.1757507,139.2446594,445.670105,188.7695313,303.1358643,-1.7,28.94
1/8/2019 0:00,7756.276855,139.1295929,136.8874969,441.7533875,181.2925262,347.6919556,-2.2,28.04
1/8/2019 1:00,7896.716797,153.9217529,129.0170898,433.8417358,186.5282593,342.6487732,-2.8,26.96
1/8/2019 2:00,7779.484863,135.0625153,125.2192764,433.5216675,185.8196564,338.4540405,-2.2,28.04
1/8/2019 3:00,7635.716797,141.7885284,123.0386887,406.5157166,187.9386139,345.7967224,-2.2,28.04
1/8/2019 4:00,7701.049805,140.9690247,122.7088623,432.9907837,188.3203583,288.4626465,-1.1,30.02
1/8/2019 5:00,7301.294434,134.1346741,119.5357285,419.2462158,185.876358,287.7980042,-0.6,30.92
1/8/2019 6:00,7262.506348,130.1178131,128.999588,443.6456909,186.8545227,258.5514526,-0.6,30.92
1/8/2019 7:00,9354.712891,135.3678589,143.0886993,497.563446,179.1934052,314.1942139,-1.1,30.02
1/8/2019 8:00,9015.318359,162.2444611,171.1894379,518.7722778,206.8480225,354.4728394,-1.1,30.02
1/8/2019 9:00,8846.236328,139.0110779,186.0717621,543.142395,196.8668823,348.8972778,-0.6,30.92
1/8/2019 10:00,6667.339844,144.2372284,201.5823975,557.1810913,211.1919861,327.190033,0,32
1/8/2019 11:00,7243.506836,154.1264496,212.8818817,574.1019287,202.4010468,353.8207092,0,32
1/8/2019 12:00,7447.957031,150.9129028,209.320816,568.9932251,189.6215668,348.7365112,0.6,33.08
1/8/2019 13:00,6731.631836,149.1266022,207.9161224,584.9993286,215.9458466,296.9902039,0.6,33.08
1/8/2019 14:00,7115.524414,148.6996765,211.1206818,568.8564453,193.6580658,343.5779724,1.1,33.98
1/8/2019 15:00,5523.405273,133.1814575,210.2475281,544.5957031,204.5253143,319.3414001,2.2,35.96
1/8/2019 16:00,5172.708984,133.8013763,200.9533081,546.9418945,197.1229248,316.5146179,2.8,37.04
1/8/2019 17:00,5006.350586,125.4948883,191.5580292,545.4345093,199.5307007,317.5652466,3.3,37.94
1/8/2019 18:00,5847.067383,146.5002899,193.3184967,515.0828857,209.7105865,313.6820068,5.6,42.08
1/8/2019 19:00,5659.250488,146.3737183,173.1283264,527.3106689,205.342926,311.9364319,5,41
1/8/2019 20:00,5871.924805,134.2427063,158.4057617,496.1032104,192.6242523,307.8956299,5,41
1/8/2019 21:00,6435.440918,137.7496338,143.3404541,466.1643372,195.1779633,315.6915588,5.6,42.08
1/8/2019 22:00,6850.053711,146.9985046,144.2498016,464.8036804,188.7858124,304.7475891,5,41
1/8/2019 23:00,6122.653809,138.5646667,144.7952271,440.4387207,188.0747223,301.3421326,5.6,42.08
1/9/2019 0:00,6982.149902,134.0565948,134.3498688,463.8911133,188.828949,339.4927979,5.6,42.08
1/9/2019 1:00,6610.710449,142.3649902,141.8832245,425.860321,194.7868958,338.7912292,5,41
1/9/2019 2:00,6594.516113,136.1710205,133.2683716,434.5580444,190.5451965,336.1343994,4.4,39.92
1/9/2019 3:00,5937.763672,141.8968811,123.488533,427.8468018,183.0086823,338.0271912,2.8,37.04
1/9/2019 4:00,6222.246094,123.1265106,130.5033722,427.378479,184.7535248,286.8383789,1.7,35.06
1/9/2019 5:00,5940.060059,152.2468262,123.0569077,425.3770142,186.792923,292.8720093,2.8,37.04
1/9/2019 6:00,6085.673828,132.9552307,122.0283508,426.4931946,186.0530548,261.2597351,1.7,35.06
1/9/2019 7:00,8910.922852,146.9834747,145.914917,474.8937988,180.6284332,294.1621704,1.7,35.06
1/9/2019 8:00,6358.977539,142.7019653,155.7359467,498.0328979,185.4593201,330.7937622,2.2,35.96
1/9/2019 9:00,7632.163574,141.2479706,179.9897766,539.6109009,191.66922,347.1831055,2.2,35.96
1/9/2019 10:00,6794.263184,132.8405914,201.0828247,558.1146851,199.7680359,326.3173523,2.2,35.96
1/9/2019 11:00,8969.626953,140.5948334,202.9260559,569.3275757,192.0797729,342.5558472,2.8,37.04
1/9/2019 12:00,6570.160645,153.2859497,215.8298645,553.5540161,216.0233459,352.2359314,2.8,37.04
1/9/2019 13:00,6937.408203,133.7977753,208.4863281,545.5866699,200.9006348,343.2230835,4,39.2
1/9/2019 14:00,8062.552734,170.0072327,214.7064819,544.0095215,211.8900452,353.7157593,6.1,42.98
1/9/2019 15:00,6060.772949,140.5614471,201.6307983,541.4820557,231.5155487,319.4958496,6.7,44.06
1/9/2019 16:00,5590.638672,135.9591522,199.7893829,547.0291748,199.9169464,322.660614,6.7,44.06
1/9/2019 17:00,5918.554688,142.5582886,195.2052002,554.1521606,188.8952942,321.4718628,7.2,44.96
1/9/2019 18:00,6267.086914,136.3637848,187.4267578,530.1859741,200.5025024,317.1128235,7.2,44.96
1/9/2019 19:00,7286.933105,152.8733063,172.3276978,503.2095642,196.9814758,320.8043518,6.1,42.98
1/9/2019 20:00,6421.983398,137.0188904,170.0834808,496.164917,200.0663147,318.2700195,6.7,44.06
1/9/2019 21:00,6787.317383,151.3433228,156.2118378,493.2258911,199.2115784,315.0749207,6.7,44.06
1/9/2019 22:00,7859.282715,127.2946854,157.29953,463.0945435,192.7820129,306.1587219,6.1,42.98
1/9/2019 23:00,7091.683594,162.6600647,147.7652435,457.8763123,190.25177,302.6950073,5.6,42.08
1/10/2019 0:00,6714.072266,129.1976318,142.2826843,429.1760254,191.5230408,307.6785278,4.4,39.92
1/10/2019 1:00,6589.699219,148.823761,145.1613464,427.9539185,197.3678894,298.4742737,3.9,39.02
1/10/2019 2:00,6852.047363,136.4953461,143.7373352,418.3146973,189.9872589,303.1058044,3.3,37.94
1/10/2019 3:00,6584.879883,155.805069,123.5459518,437.6052246,185.1779938,302.9568787,2.8,37.04
1/10/2019 4:00,6675.908691,132.8080139,121.5976181,404.7467957,184.7635956,252.2896118,2.2,35.96
1/10/2019 5:00,7171.146484,151.4060669,119.6744156,408.6158142,183.7383423,247.8154602,2.8,37.04
1/10/2019 6:00,6964.838867,132.3665771,122.4280777,411.6264954,185.0439301,250.480896,2.2,35.96
1/10/2019 7:00,9849.727539,112.2198105,143.9052277,501.7418213,184.8542633,336.9942017,1.7,35.06
1/10/2019 8:00,7744.861816,156.1154175,158.0158234,491.7720032,177.9382629,398.0396118,2.2,35.96
1/10/2019 9:00,8107.270508,171.2940369,187.8961639,515.5291138,226.5393982,397.183136,2.2,35.96
1/10/2019 10:00,7032.803711,136.3404846,204.7274323,550.7194214,182.9247284,396.5410767,2.2,35.96
1/10/2019 11:00,7991.921387,143.0827484,208.3943024,556.817749,206.8108826,401.1656799,2.2,35.96
1/10/2019 12:00,7017.275879,168.6438293,205.1601105,560.3983154,183.3404388,383.1022644,1.7,35.06
1/10/2019 13:00,6691.813477,153.7294464,204.0720062,557.9421997,170.7142639,350.4618225,1.7,35.06
1/10/2019 14:00,8244.293945,133.235199,206.5214233,566.2974854,230.1583557,302.8513794,2.2,35.96
1/10/2019 15:00,8038.664551,140.6597595,207.2602081,558.1869507,217.3748322,270.5056763,1.7,35.06
1/10/2019 16:00,6815.418945,135.4239044,206.1821442,564.2827148,211.0541534,266.3589783,1.7,35.06
1/10/2019 17:00,7035.790039,128.9298859,200.7534943,544.3788452,196.8312531,270.4291687,1.7,35.06
1/10/2019 18:00,7449.1875,132.5252075,187.6508942,523.4025269,171.4480133,278.6142883,1.1,33.98
1/10/2019 19:00,7110.926758,127.0830688,172.5627289,505.7364197,194.2895355,262.3392029,1.1,33.98
1/10/2019 20:00,7923.687988,141.2678833,156.8108978,484.5072632,196.3323059,272.3024292,1.7,35.06
1/10/2019 21:00,7704.278809,144.1958008,142.0793457,485.6279907,202.6199799,261.8234253,1.7,35.06
1/10/2019 22:00,7943.040527,141.0396423,135.1712189,463.8084717,190.3863983,258.6131592,1.7,35.06
1/10/2019 23:00,8430.015625,137.1820679,134.7739868,448.2521667,189.4176788,251.6386108,0.6,33.08
1/11/2019 0:00,8518.835938,132.4946747,126.0767517,427.4650269,186.7933197,264.8495483,0,32
1/11/2019 1:00,8691.015625,146.2805939,131.8425293,427.0398865,446.5042114,262.0509644,-1.1,30.02
1/11/2019 2:00,8718.355469,135.9497986,122.8444672,420.6935425,444.5794678,261.0299072,-1.1,30.02
1/11/2019 3:00,8392.837891,155.0023041,119.9338074,422.2185059,183.0818024,262.8928528,-2.2,28.04
1/11/2019 4:00,8354.235352,139.6737671,120.2067032,441.1722412,182.9603882,254.0186462,-2.8,26.96
1/11/2019 5:00,8555.922852,149.0107117,119.3341141,428.1596375,186.7338715,248.74646,-3.3,26.06
1/11/2019 6:00,8731.87793,129.4528046,115.3615646,420.1992798,174.0894318,258.7107239,-3.9,24.98
1/11/2019 7:00,12878.7168,147.0857849,141.8979187,494.3138733,197.9134979,273.5009766,-3.9,24.98
1/11/2019 8:00,12990.42773,156.4716339,161.497757,491.2810974,247.5330353,318.3800659,-3.9,24.98
1/11/2019 9:00,9538.767578,156.6924896,181.3538055,522.4332275,268.3878784,330.3811646,-3.3,26.06
1/11/2019 10:00,8543.029297,220.2219391,199.7195435,540.3690796,260.9885254,331.9562683,-3.3,26.06
1/11/2019 11:00,10377.60352,150.134491,206.498764,575.2893066,260.3939209,328.8341064,-3.3,26.06
