,M9STMFLOW,M9CHWTONS,M9TFRARealPower,M9TFRBRealPower,TMP C,TMP F
1/7/2019 12:00,3497.601318,84.89717865,20.21240425,32.9536705,-7.2,19.04
1/7/2019 13:00,3385.459473,83.23696899,18.84765816,35.93220139,-7.2,19.04
1/7/2019 14:00,3214.383789,85.05368805,20.73347282,33.02610397,-6.1,21.02
1/7/2019 15:00,3311.483154,56.56607819,20.97525024,34.22343445,-5,23
1/7/2019 16:00,3495.856934,37.45004272,21.1575489,33.7141037,-3.9,24.98
1/7/2019 17:00,3535.252686,52.29114532,18.66245842,35.74555969,-2.2,28.04
1/7/2019 18:00,3540.860107,86.40759277,19.77927589,33.11009979,-1.1,30.02
1/7/2019 19:00,3419.186279,86.83395386,18.42283249,32.04420853,-1.1,30.02
1/7/2019 20:00,3331.688721,78.90588379,17.9211235,28.00710106,-0.6,30.92
1/7/2019 21:00,3561.608643,70.64974213,18.67597961,24.09278297,-1.1,30.02
1/7/2019 22:00,3008.981934,69.6132431,16.79984283,23.84769249,-1.7,28.94
1/7/2019 23:00,3036.112549,64.03114319,16.48008347,24.99973106,-1.7,28.94
1/8/2019 0:00,3191.362305,61.52376556,15.98219776,22.29590607,-2.2,28.04
1/8/2019 1:00,3058.824463,69.79490662,15.70683289,20.88002777,-2.8,26.96
1/8/2019 2:00,2882.829346,73.5894928,15.34140015,20.55781174,-2.2,28.04
1/8/2019 3:00,2837.564209,74.38672638,15.16571999,20.72576904,-2.2,28.04
1/8/2019 4:00,3018.202881,73.4884491,15.14839172,19.96274757,-1.1,30.02
1/8/2019 5:00,3118.460938,73.51615143,15.8247757,19.34805298,-0.6,30.92
1/8/2019 6:00,3138.887939,73.12162018,16.27781487,20.26080322,-0.6,30.92
1/8/2019 7:00,3008.134521,77.18754578,17.53712082,24.25847435,-1.1,30.02
1/8/2019 8:00,3136.406006,81.92516327,20.64469337,30.61274338,-1.1,30.02
1/8/2019 9:00,3045.702148,83.52226257,17.44371986,30.43503761,-0.6,30.92
1/8/2019 10:00,2842.573242,86.2432785,19.55403137,35.64213562,0,32
1/8/2019 11:00,2662.44043,85.62973785,18.84524345,36.9990654,0,32
1/8/2019 12:00,2397.539063,80.39323425,19.58659363,38.48831177,0.6,33.08
1/8/2019 13:00,2133.898682,72.02281952,18.2882061,39.46589661,0.6,33.08
1/8/2019 14:00,1980.887207,58.97127151,18.10677338,35.33150482,1.1,33.98
1/8/2019 15:00,2201.299805,42.15705872,18.83754921,37.71331024,2.2,35.96
1/8/2019 16:00,1947.521851,40.0085144,19.81014633,35.70370865,2.8,37.04
1/8/2019 17:00,1698.823242,38.68291092,18.63046074,34.63419342,3.3,37.94
1/8/2019 18:00,1819.955444,40.29474258,17.69534302,34.0021553,5.6,42.08
1/8/2019 19:00,1867.636353,40.08660507,17.04492188,31.97483253,5,41
1/8/2019 20:00,2308.551514,38.30252838,15.52557755,27.54803085,5,41
1/8/2019 21:00,2206.615234,37.41940689,18.13232231,26.11028862,5.6,42.08
1/8/2019 22:00,2603.926025,38.05233383,16.14716911,25.44949341,5,41
1/8/2019 23:00,2398.09375,58.21874237,16.08460236,24.75324059,5.6,42.08
1/9/2019 0:00,2492.507324,72.17006683,15.87571621,23.09250259,5.6,42.08
1/9/2019 1:00,2363.747803,73.92752075,14.8637104,21.77691841,5,41
1/9/2019 2:00,2399.190674,74.40956879,16.84544754,21.76396561,4.4,39.92
1/9/2019 3:00,2459.227295,72.86024475,15.38515377,22.83117485,2.8,37.04
1/9/2019 4:00,2246.704834,72.42302704,14.98522282,20.91546249,1.7,35.06
1/9/2019 5:00,2505.353271,71.06063843,15.20995808,21.27094269,2.8,37.04
1/9/2019 6:00,2317.550537,70.7511673,14.82503796,21.92168617,1.7,35.06
1/9/2019 7:00,2377.141113,77.49569702,16.12381935,24.24490929,1.7,35.06
1/9/2019 8:00,2393.354004,74.90949249,15.90665627,28.74368858,2.2,35.96
1/9/2019 9:00,2276.368896,69.28174591,18.55863953,29.44671249,2.2,35.96
1/9/2019 10:00,2213.205811,68.1931839,19.60786438,30.7142067,2.2,35.96
1/9/2019 11:00,2254.470459,82.80932617,19.82416725,31.15273094,2.8,37.04
1/9/2019 12:00,2126.551758,84.40591431,19.98658752,33.49875259,2.8,37.04
1/9/2019 13:00,2016.20105,86.78015137,19.72792053,33.50266647,4,39.2
1/9/2019 14:00,2170.527344,89.20929718,20.95969963,35.14419174,6.1,42.98
1/9/2019 15:00,2009.719238,88.22026825,19.25861931,33.61715317,6.7,44.06
1/9/2019 16:00,1936.949585,86.60082245,21.15468597,35.75467682,6.7,44.06
1/9/2019 17:00,1885.701782,86.74919128,19.27861023,34.37255478,7.2,44.96
1/9/2019 18:00,2162.625244,87.58553314,18.57058716,29.82239723,7.2,44.96
1/9/2019 19:00,2164.841553,88.80444336,17.7362957,31.86568832,6.1,42.98
1/9/2019 20:00,2489.067139,87.39161682,17.10583305,25.81945801,6.7,44.06
1/9/2019 21:00,2242.581055,84.12333679,17.51283073,24.39203072,6.7,44.06
1/9/2019 22:00,2426.844482,82.86639404,15.34391785,25.20812035,6.1,42.98
1/9/2019 23:00,2588.352051,80.57910919,15.31158829,24.42625999,5.6,42.08
1/10/2019 0:00,2453.04126,78.92925262,15.84798527,21.91374016,4.4,39.92
1/10/2019 1:00,2578.584961,79.30910492,16.17075539,21.20853996,3.9,39.02
1/10/2019 2:00,2788.619385,79.58136749,16.7149868,20.94613266,3.3,37.94
1/10/2019 3:00,2646.221924,80.84970856,16.09430313,20.63319969,2.8,37.04
1/10/2019 4:00,2631.923828,81.83441925,15.43870258,20.79275131,2.2,35.96
1/10/2019 5:00,2739.578857,81.16848755,15.09191036,22.0486393,2.8,37.04
1/10/2019 6:00,2739.05127,73.12382507,15.60239601,20.66523552,2.2,35.96
1/10/2019 7:00,3127.362549,122.9491272,17.18546295,24.88155746,1.7,35.06
1/10/2019 8:00,3166.309814,127.1536713,16.48836899,28.84215736,2.2,35.96
1/10/2019 9:00,2980.280029,127.6242905,16.77536011,30.07331657,2.2,35.96
1/10/2019 10:00,3046.200439,121.4129868,18.61622238,30.07024193,2.2,35.96
1/10/2019 11:00,2781.025391,122.4792252,19.2820797,31.52231407,2.2,35.96
1/10/2019 12:00,3001.250977,116.5027924,19.20971489,33.48155212,1.7,35.06
1/10/2019 13:00,2665.904053,85.56397247,20.21424294,32.04369354,1.7,35.06
1/10/2019 14:00,2995.929932,91.4118042,19.37988091,34.14058304,2.2,35.96
1/10/2019 15:00,2871.964355,91.48625183,18.98472404,34.55591202,1.7,35.06
1/10/2019 16:00,2636.160645,90.37875366,18.58167076,32.79032898,1.7,35.06
1/10/2019 17:00,3051.648438,89.0402832,17.50708961,33.26853561,1.7,35.06
1/10/2019 18:00,3092.51416,90.16918182,19.11749458,29.68848419,1.1,33.98
1/10/2019 19:00,3027.663574,94.07842255,18.83176613,29.0407486,1.1,33.98
1/10/2019 20:00,3388.535645,89.75164795,17.6170826,25.82984924,1.7,35.06
1/10/2019 21:00,3319.753662,88.42676544,17.23810005,26.66972542,1.7,35.06
1/10/2019 22:00,3358.843018,88.49523163,16.76930809,25.53984833,1.7,35.06
1/10/2019 23:00,3358.289307,84.98471832,16.89081573,24.84383011,0.6,33.08
1/11/2019 0:00,3411.694092,85.53949738,14.89000988,22.6217823,0,32
